mission_days,total_delta_v_m_s
183.06575970256614,626.369221658166
179.5018650933395,650.4622441664076
182.23872177587748,632.0104359275605
181.8270245005312,634.8371659972337
183.09144201827417,626.3016410893822
183.09746217631425,626.3343837739346
182.21845260587256,632.4453358012721
182.43242121074505,631.0274684561343
181.80898727897133,635.3739253322522
182.20939348359826,632.7309621595165
181.78375406002422,635.6665878480864
183.03939186194552,627.1964538244533
183.26215997832625,625.7822876162284
181.77983207074556,635.934456144472
181.77614977167116,635.9993818399092
183.26049618995057,625.9866083344881
181.75459885179845,636.2271186603062
181.8309137468718,635.723129627312
181.75091655272405,636.2920443557434
181.80292471797412,635.9598004825134
183.08388092768814,627.3198798429925
183.2822559193364,625.9991503742767
183.12895696072692,627.2218607716527
182.87312765923966,629.1950792607644
181.79941828983343,636.5440411384332
183.24857872970017,626.7677836852863
183.23806019576918,626.9049221015081
181.83459611051308,636.4876194030879
183.29365476273895,626.6697646139464
182.73464709674948,630.4966007206648
181.9239002305082,636.1411368887912
183.25815613677932,627.1217848595564
183.05238627172622,628.6480183577543
183.10284112077625,628.3255833031466
183.22221088907955,627.5950158515736
183.09980222518632,628.5732755469681
181.7956138481314,637.6527220318405
